seed,terrain_key,terrain,objective,status,score,grade,economy,transport,environment,housing,urban_form,base_1000,fit_bonus,event_score,difficulty,spent,budget,reasons
2,mountain_gate,Mountain Basin,Innovation City,OK,957.9,S,190.6,110.1,139.4,110.9,79.8,630.7,78.9,0.0,1.35,2568010,5239200,
2,mountain_gate,Mountain Basin,Tourism Capital,OK,930.1,A,194.4,103.8,141.0,121.2,84.1,644.5,44.2,0.2,1.35,2314339,5239200,
2,mountain_gate,Mountain Basin,Eco Metropolis,OK,1023.4,S,176.4,99.6,162.1,141.2,66.0,645.2,72.9,40.0,1.35,2259189,5239200,
2,great_delta,River Delta,Financial Capital,OK,895.2,A,195.3,103.8,104.4,100.3,83.3,587.2,86.6,14.9,1.3,2555476,4308000,
2,great_delta,River Delta,Logistics Hub,OK,923.3,A,200.0,97.6,92.9,122.6,58.9,571.9,100.0,38.3,1.3,2737448,4308000,
2,great_delta,River Delta,Innovation City,OK,924.9,A,200.0,111.1,105.3,120.5,70.9,607.9,78.6,25.0,1.3,2573026,4308000,
2,great_delta,River Delta,Tourism Capital,OK,878.7,A,200.0,96.8,93.2,131.3,71.9,593.2,44.4,38.3,1.3,2334339,4308000,
2,great_delta,River Delta,Eco Metropolis,OK,920.0,A,200.0,91.1,125.2,150.2,44.5,611.0,71.7,25.0,1.3,2264189,4308000,
2,central_plain,Great Plain,Financial Capital,OK,741.4,B,194.5,138.8,143.0,88.9,122.8,687.9,87.3,5.2,0.95,2555449,5751200,
2,central_plain,Great Plain,Logistics Hub,OK,777.6,B,186.5,138.7,133.9,111.3,102.8,673.3,100.0,45.2,0.95,2717416,5751200,
2,central_plain,Great Plain,Innovation City,OK,736.2,B,189.2,141.7,143.8,108.4,107.1,690.3,79.5,5.2,0.95,2572999,5751200,
2,central_plain,Great Plain,Tourism Capital,OK,709.8,C,184.2,134.4,145.3,118.5,114.2,696.6,45.4,5.2,0.95,2314339,5751200,
2,central_plain,Great Plain,Eco Metropolis,OK,772.1,B,166.0,127.0,166.0,138.3,92.0,689.2,78.3,45.2,0.95,2264189,5751200,
7,lake_core,Lake Core,Financial Capital,OK,748.9,B,178.5,149.2,146.9,92.9,137.6,705.0,78.2,-70.0,1.05,2555463,5400600,
7,lake_core,Lake Core,Logistics Hub,OK,791.3,B,190.1,150.7,137.2,115.2,130.3,723.6,100.0,-70.0,1.05,2717432,5400600,
7,lake_core,Lake Core,Innovation City,OK,817.8,B,189.0,151.2,148.4,113.4,131.3,733.2,80.7,-35.0,1.05,2573013,5400600,
7,lake_core,Lake Core,Tourism Capital,OK,768.3,B,192.0,149.9,149.4,124.7,138.0,754.1,47.6,-70.0,1.05,2314339,5400600,
7,lake_core,Lake Core,Eco Metropolis,OK,867.7,A,172.9,145.5,171.0,143.8,121.7,754.9,81.5,-10.0,1.05,2264189,5400600,
7,twin_coast,Coastal Bay,Financial Capital,OK,831.0,B,178.5,136.7,140.5,102.6,120.1,678.4,77.0,0.0,1.1,2555451,4297800,
7,twin_coast,Coastal Bay,Logistics Hub,OK,993.3,S,197.2,143.5,130.5,124.3,117.5,713.0,100.0,90.0,1.1,2737418,4297800,
7,twin_coast,Coastal Bay,Innovation City,OK,869.2,A,195.3,138.3,141.5,122.0,113.7,710.7,79.5,0.0,1.1,2568001,4297800,
7,twin_coast,Coastal Bay,Tourism Capital,OK,892.7,A,199.7,135.1,129.3,132.3,120.5,717.0,44.6,50.0,1.1,2334339,4297800,
7,twin_coast,Coastal Bay,Eco Metropolis,OK,920.4,A,200.0,133.6,124.5,151.1,109.6,718.8,78.0,40.0,1.1,2259189,4297800,
7,mountain_gate,Mountain Basin,Financial Capital,OK,1021.9,S,178.5,143.5,135.4,92.4,130.5,680.3,76.7,0.0,1.35,2555454,5241600,
7,mountain_gate,Mountain Basin,Logistics Hub,OK,1081.5,S,191.7,145.5,125.1,114.8,124.1,701.1,100.0,0.0,1.35,2717422,5241600,
7,mountain_gate,Mountain Basin,Innovation City,OK,1066.2,S,190.6,146.1,136.0,112.9,125.0,710.6,79.2,0.0,1.35,2568004,5241600,
7,mountain_gate,Mountain Basin,Tourism Capital,OK,1046.1,S,194.4,144.6,136.6,122.5,131.5,729.5,45.4,0.0,1.35,2314339,5241600,
7,mountain_gate,Mountain Basin,Eco Metropolis,OK,1100.4,S,176.3,140.7,159.7,143.4,116.9,737.1,78.0,0.0,1.35,2259189,5241600,
7,great_delta,River Delta,Financial Capital,OK,918.4,A,178.5,119.8,120.0,102.9,109.6,630.8,75.7,0.0,1.3,2556278,3806200,
7,great_delta,River Delta,Logistics Hub,OK,1099.6,S,197.2,133.3,128.3,127.0,111.7,697.6,100.0,48.3,1.3,2738381,3806200,
7,great_delta,River Delta,Innovation City,OK,998.0,S,195.3,126.7,101.0,124.0,107.4,654.5,78.3,35.0,1.3,2573828,3806200,
7,great_delta,River Delta,Tourism Capital,OK,984.7,S,199.7,112.8,115.5,132.1,103.7,663.8,43.7,50.0,1.3,2334339,3806200,
7,great_delta,River Delta,Eco Metropolis,OK,969.4,S,200.0,97.1,120.4,149.6,70.4,637.5,73.2,35.0,1.3,2264189,3806200,
7,central_plain,Great Plain,Financial Capital,OK,700.7,C,177.7,143.3,144.7,90.1,122.2,678.0,77.6,-18.0,0.95,2555501,5751200,
7,central_plain,Great Plain,Logistics Hub,OK,771.8,B,183.7,144.2,134.8,111.9,114.9,689.6,100.0,22.9,0.95,2717476,5751200,
7,central_plain,Great Plain,Innovation City,OK,728.6,B,184.5,146.7,146.0,110.7,117.0,704.8,80.1,-18.0,0.95,2573051,5751200,
7,central_plain,Great Plain,Tourism Capital,OK,702.7,C,184.0,142.2,145.9,120.4,118.6,711.0,46.6,-18.0,0.95,2314339,5751200,
7,central_plain,Great Plain,Eco Metropolis,OK,766.6,B,166.0,138.8,166.1,140.8,98.7,710.4,74.5,22.0,0.95,2264189,5751200,
11,lake_core,Lake Core,Financial Capital,OK,702.4,C,195.3,117.8,116.4,91.6,80.2,601.3,87.7,-20.0,1.05,2555628,5388200,
11,lake_core,Lake Core,Logistics Hub,OK,712.2,C,193.0,121.5,105.8,113.6,64.4,598.3,100.0,-20.0,1.05,2717625,5388200,
11,lake_core,Lake Core,Innovation City,OK,734.9,B,193.8,119.1,117.4,112.1,62.8,605.1,79.8,15.0,1.05,2573178,5388200,
11,lake_core,Lake Core,Tourism Capital,OK,681.7,C,192.6,116.4,119.4,121.3,74.4,624.1,45.1,-20.0,1.05,2314339,5388200,
11,lake_core,Lake Core,Eco Metropolis,OK,747.3,B,173.2,111.7,142.4,142.1,55.9,625.3,71.5,15.0,1.05,2264189,5388200,
11,twin_coast,Coastal Bay,Financial Capital,OK,832.2,B,178.5,143.5,123.4,107.9,125.9,679.2,77.4,0.0,1.1,2555449,4068000,
11,twin_coast,Coastal Bay,Logistics Hub,OK,995.6,S,197.2,151.3,113.8,130.7,122.1,715.1,100.0,90.0,1.1,2737416,4068000,
11,twin_coast,Coastal Bay,Innovation City,OK,870.8,A,195.3,145.5,124.5,127.1,119.5,711.9,79.8,0.0,1.1,2567999,4068000,
11,twin_coast,Coastal Bay,Tourism Capital,OK,895.5,A,199.7,143.4,112.4,135.7,126.9,718.1,45.9,50.0,1.1,2334339,4068000,
11,twin_coast,Coastal Bay,Eco Metropolis,OK,907.2,A,200.0,140.3,106.1,154.2,107.7,708.3,76.5,40.0,1.1,2259189,4068000,
11,mountain_gate,Mountain Basin,Financial Capital,OK,955.5,S,178.5,132.6,115.2,92.5,111.8,630.5,77.3,0.0,1.35,2555508,5241000,
11,mountain_gate,Mountain Basin,Logistics Hub,OK,983.9,S,191.7,136.6,104.6,115.1,105.9,654.0,100.0,-25.1,1.35,2717485,5241000,
11,mountain_gate,Mountain Basin,Innovation City,OK,997.5,S,190.6,133.9,116.3,113.7,104.8,659.1,79.8,0.0,1.35,2568058,5241000,
11,mountain_gate,Mountain Basin,Tourism Capital,OK,924.5,A,194.4,129.0,115.3,122.9,103.7,665.2,45.4,-25.8,1.35,2314339,5241000,
11,mountain_gate,Mountain Basin,Eco Metropolis,OK,922.5,A,176.4,93.6,133.7,143.5,53.3,600.5,70.9,11.9,1.35,2259189,5241000,
11,great_delta,River Delta,Financial Capital,OK,903.9,A,178.5,125.5,106.4,99.1,109.3,618.8,76.5,0.0,1.3,2555524,4464600,
11,great_delta,River Delta,Logistics Hub,OK,1048.5,S,197.2,134.2,95.5,121.6,108.0,656.5,100.0,50.0,1.3,2737504,4464600,
11,great_delta,River Delta,Innovation City,OK,1000.6,S,195.3,129.2,107.3,119.7,104.3,655.8,78.9,35.0,1.3,2573074,4464600,
11,great_delta,River Delta,Tourism Capital,OK,972.4,S,199.7,123.5,94.1,130.1,105.8,653.2,44.8,50.0,1.3,2334339,4464600,
11,great_delta,River Delta,Eco Metropolis,OK,961.2,S,196.6,99.3,124.3,150.3,62.3,632.8,71.6,35.0,1.3,2264189,4464600,
11,central_plain,Great Plain,Financial Capital,OK,685.5,C,177.7,132.0,125.3,88.5,121.4,644.9,76.6,0.0,0.95,2555463,5750200,
11,central_plain,Great Plain,Logistics Hub,OK,764.6,B,183.8,137.6,115.8,110.6,117.0,664.8,100.0,40.0,0.95,2717432,5750200,
11,central_plain,Great Plain,Innovation City,OK,717.6,C,184.5,137.9,126.6,108.4,118.8,676.2,79.2,0.0,0.95,2573013,5750200,
11,central_plain,Great Plain,Tourism Capital,OK,712.6,C,184.0,142.4,128.9,118.8,130.5,704.5,45.6,0.0,0.95,2314339,5750200,
11,central_plain,Great Plain,Eco Metropolis,OK,775.7,B,166.1,129.7,152.0,139.2,109.8,696.8,79.8,40.0,0.95,2264189,5750200,
